Name EN,Name CN
Hunter X Hunter - Michibikareshi Mono (Japan),全职猎人 - 引导者
Hunter X Hunter - Sorezore no Ketsui (Japan),全职猎人 - 抉择
Inuyasha - Fuuun Emaki (Japan),犬夜叉 - 风云绘卷
Inuyasha - Kagome no Sengoku Nikki (Japan),犬夜叉 - 战国日记
Inuyasha - Kagome no Yume Nikki (Japan),犬夜叉 - 梦日记
Judgement Silversword - Rebirth Edition (Japan) (Rev 4321),审判银剑重生版
Judgement Silversword - Rebirth Edition (Japan) (Rev 5C21),审判银剑重生版
Kakutou Ryouri Densetsu Bistro Recipe - Wonder Battle Hen (Japan),格斗料理传说
Kaze no Klonoa - Moonlight Museum (Japan),风之少年
Keiba Yosou Shien Soft - Yosou Shinkaron (Japan),予想进化论
Kidou Senshi Gundam - Giren no Yabou - Tokubetsu Hen - Aoki Hoshi no Hasha (Japan),机动战士高达
Kidou Senshi Gundam Seed (Japan),机动战士高达Seed
Kidou Senshi Gundam Vol. 1 - Side 7 (Japan),机动战士高达1 - Side7
Kidou Senshi Gundam Vol. 2 - Jaburo (Japan),机动战士高达2 - 贾布罗
Kidou Senshi Gundam Vol. 3 - A Baoa Qu (Japan),机动战士高达3 - 阿巴瓦空
Kinnikuman II-Sei - Choujin Seisenshi (Japan),筋肉人二世 - 超人圣战史
Kinnikuman II-Sei - Dream Tag Match (Japan),筋肉人二世
Kiss Yori... - Seaside Serenade (Japan) (Rev 2),恋爱时代 - 海边小夜曲
Kosodate Quiz - Dokodemo My Angel (Japan),子育问答我的天使
Kurupara! (Japan) (Rev 1),连锁翻翻乐
Kyousouba Ikusei Simulation - Keiba (Japan) (Rev 1),竞走马育成 - 竞马
Langrisser Millennium WS - The Last Century (Japan) (Rev 1),梦幻模拟战
Last Alive (Japan),最后的生存者
Last Stand (Japan),最后防线
Lode Runner for WonderSwan (Japan),淘金者
Macross - True Love Song (Japan),超时空要塞 - 真爱之歌
Magical Drop for WonderSwan (Japan),魔法方块大战
Mahjong Touryuumon (Japan) (Rev 1),麻雀登龙门
Mahjong Touryuumon (Japan) (Rev 3),麻雀登龙门
Makai Toushi Sa-Ga (Japan),魔界塔士
Makaimura for WonderSwan (Japan),魔界村
Medarot Perfect Edition - Kabuto Version (Japan),徽章战士 - 独角仙版
Medarot Perfect Edition - Kuwagata Version (Japan),徽章战士 - 鍬形虫版
Meitantei Conan - Majutsushi no Chousenjou! (Japan),名侦探柯南 - 魔术师之挑战书
Meitantei Conan - Nishi no Meitantei Saidai no Kiki! (Japan),名侦探柯南 - 最大之危机
Meitantei Conan - Yuugure no Oujo (Japan),名侦探柯南 - 黃昏时的皇女
Memories Off - Festa (Japan),回忆之恋
Metakomi Theraphy - Nee Kiite! (Japan),看谁在说话
Mikeneko Holmes - Ghost Panic (Japan),三毛猫探案幽灵恐慌游
Mobile Suit Gundam MSVS (Japan),高达MSVS
MobileWonderGate (Japan) (Rev 1),行动秘书
Moero!! Pro Yakyuu Rookies (Japan),燃烧之野球
Morita Shougi for WonderSwan (Japan),森田將棋
Mr. Driller (Japan),钻地小子2
Namco Super Wars (Japan),Namco超级大战
Naruto - Konoha Ninpouchou (Japan),火影忍者 - 木叶忍法贴
Nazo Ou Pocket (Japan),迷王
Neon Genesis Evangelion - Shito Ikusei (Japan),新世纪福音战士 - 使徒育成
Nice On (Japan) (Rev 1),劲上果岭
Nihon Pro Mahjong Renmei Kounin - Tetsuman (Japan) (Rev 2),日本职业麻雀联盟公认彻万
Nobunaga no Yabou for WonderSwan (Japan),信长之野望
Ou-chan no Oekaki Logic (Japan),绘图逻辑方块
Pocket Fighter (Japan),口袋快打旋风
Pocket no Naka no Doraemon (Japan),口袋小叮当
Pro Mahjong Kiwame for WonderSwan (Japan) (Rev 1),职业麻雀 - 极
Puyo Puyo Tsuu (Japan),魔法气泡2 - 专业版
Puzzle Bobble (Japan),泡泡龙
RUN=DIM - Return to Earth (Japan),丸町战神 - 回归地球
Rainbow Islands - Putty's Party (Japan),彩虹岛
Raku Jongg (Japan),落雀
Rhyme Rider Kerorican (Japan),动感娃娃
Ring Infinity (Japan),七夜怪谈
Riviera - Yakusoku no Chi Riviera (Japan) (Rev 1),约束之地
Riviera - Yakusoku no Chi Riviera (Japan),约束之地
Robot Works (Japan),甲虫机器控制程式
Rockman & Forte - Mirai Kara no Chousensha (Japan),洛克人与佛鲁迪
