Name EN,Name CN
Battle Unit Zeoth (Japan),战斗装置
"Battle Unit Zeoth (USA, Europe)",战斗装置
Battle of Kingdom (Japan),战斗领域
"Battle of Olympus, The (Europe) (En,Fr,De,Es,It)",奥林匹斯之战
BattleCity (Japan),坦克大战
"Battleship (USA, Europe)",大海战
Battletoads (Japan),忍者蛙
"Battletoads (USA, Europe)",忍者蛙
Battletoads in Ragnarok's World (Europe),忍者蛙诸神之黄昏
Battletoads in Ragnarok's World (USA),忍者蛙诸神之黄昏
Battletoads-Double Dragon (Europe),忍者蛙与双截龙 - 最终战队
Battletoads-Double Dragon (USA),忍者蛙与双截龙 - 最终战队
"Beavis and Butt-head (USA, Europe)",瘪四与大头蛋
Beethoven (Europe) (SGB Enhanced),宠物狗
Beetlejuice (USA),阴间大法师
Best of the Best - Championship Karate (Europe),王中王 - 空手道锦标赛
Best of the Best - Championship Karate (USA),王中王 - 空手道锦标赛
Bikkuri Nekketsu Shin Kiroku! - Dokodemo Kin Medal (Japan),热血新纪录 - 遍地是金牌
"Bill & Ted's Excellent Game Boy Adventure - A Bogus Journey! (USA, Europe)",比尔和特德 - 超级冒险
Bill Elliott's NASCAR Fast Tracks (USA),比尔埃略特的全国汽车挑战赛
Bionic Battler (USA),生化战士
Bionic Commando (Europe),魔希复活
Bionic Commando (Japan),魔希复活
Bionic Commando (USA),魔希复活
Bishoujo Senshi Sailor Moon (Japan),美少女战士
Bishoujo Senshi Sailor Moon R (Japan),美少女战士R
Black Bass - Lure Fishing (USA),黑鲈鱼 - 路亚钓鱼
Blades of Steel (Europe),钢铁之刃冰球
Blades of Steel (USA),钢铁之刃冰球
Blaster Master Boy (USA),爆破大师
Blaster Master Jr. (Europe),爆破大师
Block Kuzushi GB (Japan) (SGB Enhanced),究极打砖块
Blodia (Japan),装甲勇士
"Blues Brothers, The (USA, Europe)",蓝色兄弟
"Blues Brothers, The - Jukebox Adventure (Europe)",蓝色兄弟 - 音乐魔盒的冒险
Bo Jackson - Two Games in One (USA),波杰克逊 - 游戏2合1打与跑
Boggle Plus (USA),惊奇加强版
Bokujou Monogatari GB (Japan) (Rev 1) (SGB Enhanced),牧场物语
Bokujou Monogatari GB (Japan) (SGB Enhanced),牧场物语
Bokujou Monogatari GB (Japan) (SGB Enhanced) (NP),牧场物语
Bomb Jack (Europe),炸弹杰克
Bomber Boy (Japan),轰炸男孩
Bomber King - Scenario 2 (Japan),轰炸之王 - 剧本2
Bomberman Collection (Japan) (SGB Enhanced),炸弹人合集
Bomberman GB (Japan) (SGB Enhanced),炸弹人
"Bomberman GB (USA, Europe) (SGB Enhanced)",炸弹人
Bomberman GB 2 (Japan) (SGB Enhanced),炸弹人2
Bomberman GB 3 (Japan) (SGB Enhanced),炸弹人3
Bonk's Adventure (USA),原人冒险
Bonk's Revenge (USA) (SGB Enhanced),原人复仇
Booby Boys (Japan),傻瓜男孩
Boomer's Adventure in ASMIK World (USA),布布的阿斯米世界冒险
Bouken! Puzzle Road (Japan),冒险解迷之路
Boulder Dash (Europe),钻石小子
Boulder Dash (Japan),钻石小子
Boxing (Japan),拳击
Boxxle (USA),仓库番
"Boxxle (USA, Europe) (Rev 1)",仓库番
"Boxxle II (USA, Europe)",仓库番2
Brain Bender (Europe),头脑风暴
Brain Bender (USA),头脑风暴
Brain Drain (Europe) (SGB Enhanced),智囊流失
Brain Drain (Japan) (En) (SGB Enhanced),智囊流失
Brain Drain (USA) (SGB Enhanced),智囊流失
"Bram Stoker's Dracula (USA, Europe)",布拉姆史托克的德拉可拉
BreakThru! (USA),强行突破
Bubble Bobble (Japan),泡泡龙
"Bubble Bobble (USA, Europe)",泡泡龙
Bubble Bobble Junior (Japan),泡泡龙少年
"Bubble Bobble Part 2 (USA, Europe)",泡泡龙2
Bubble Ghost (Japan),泡泡小精灵
"Bubble Ghost (USA, Europe)",泡泡小精灵
Bubsy II (Europe),音速狐2
Bubsy II (USA),音速狐2
Bugs Bunny Collection (Japan) (Rev 1) (SGB Enhanced),兔八哥收藏
Bugs Bunny Collection (Japan) (SGB Enhanced),兔八哥收藏
"Bugs Bunny Crazy Castle 2, The (USA)",兔八哥疯狂城堡2
"Bugs Bunny Crazy Castle, The (USA, Europe)",兔八哥疯狂城堡
"Burai Fighter Deluxe (USA, Europe)",无赖战士
Burai Senshi Deluxe (Japan),无赖战士
BurgerTime Deluxe (World),汉堡时光世界
Burning Paper (Japan),激情壁纸
"Bust-A-Move 2 - Arcade Edition (USA, Europe)",泡泡龙2 - 街机版
Bust-A-Move 3 DX (Europe),泡泡龙3DX
Buster Bros. (USA),魔鬼气泡
Cadillac II (Japan),凯迪拉克2
"Caesars Palace (Europe) (En,Fr,De,Es,It)",凯撒皇宫
