Name EN,Name CN
Barbie - Ocean Discovery (USA) (GB Compatible),芭比娃娃 - 海洋冒险
Barbie - Ocean Discovery (United Kingdom) (GB Compatible),芭比娃娃 - 海洋冒险
"Barbie - Pet Rescue (Europe) (En,Fr,De,Es,It)",芭比娃娃 - 营救宠物
Barbie - Pet Rescue (USA),芭比娃娃 - 营救宠物
"Barca Total 2000 (Europe) (En,Fr,De,Es,It,Nl,Ca)",巴罗卡足球2000
Barcode Taisen Bardigun (Japan) (Rev 1) (SGB Enhanced) (GB Compatible),条形码战争
Barcode Taisen Bardigun (Japan) (SGB Enhanced) (GB Compatible),条形码战争
"Bass Masters Classic (USA, Europe) (GB Compatible)",鲈钓高手
"Batman - Chaos in Gotham (Europe) (En,Fr,De,Es,It,Nl)",蝙蝠侠 - 哥谭混沌
Batman - Chaos in Gotham (USA),蝙蝠侠 - 哥谭混沌
Batman Beyond - Return of the Joker (Japan) (NP),蝙蝠侠 - 小丑复仇
Batman Beyond - Return of the Joker (USA),蝙蝠侠 - 小丑复仇
"Batman of the Future - Return of the Joker (Europe) (En,Fr,De)",蝙蝠侠 - 小丑复仇
Battle Fishers (Japan),威龙周记
"BattleTanx (Europe) (En,Fr,De)",坦克大战
BattleTanx (USA),坦克大战
"Battleship (USA, Europe) (GB Compatible)",大海战
"Beach'n Ball (Europe) (En,Fr,De,Es,It)",沙滩排球
Beatmania GB (Japan) (SGB Enhanced) (GB Compatible),狂热节拍
Beatmania GB - Gotcha Mix 2 (Japan),狂热节拍3
Beatmania GB 2 - Gotcha Mix (Japan) (SGB Enhanced) (GB Compatible),狂热节拍2
"Beauty and the Beast - A Board Game Adventure (Europe) (En,Fr,De,Es,It) (SGB Enhanced) (GB Compatible)",美女与野兽 - 桌游版
"Beauty and the Beast - A Board Game Adventure (USA, Australia) (SGB Enhanced) (GB Compatible)",美女与野兽 - 桌游版
Benjamin Bluemchen - Ein verrueckter Tag im Zoo (Germany),本杰明的动物园之旅
Beyblade - Fighting Tournament (Japan),爆转陀螺2
Bibi Blocksberg - Im Bann der Hexenkugel (Germany),比比 - 花中女王
Bibi und Tina - Fohlen Felix in Gefahr (Germany),碧碧和蒂娜
Bikkuriman 2000 - Charging Card GB (Japan) (SGB Enhanced) (GB Compatible),仙魔大战2000
"Billy Bob's Huntin' 'n' Fishin' (USA, Europe)",比利包勃钓鱼赛
Biohazard Gaiden (Japan),生化危机
"Bionic Commando - Elite Forces (USA, Australia)",生化指挥官 - 究极武力
"Black Bass - Lure Fishing (USA, Europe) (GB Compatible)",路亚钓鱼 - 黑鲈鱼
"Black Onyx, The (Japan)",黑玛瑙
"Blade (USA, Europe)",刀锋战士
"Blaster Master - Enemy Below (USA, Europe) (SGB Enhanced) (GB Compatible)",超惑星战记
Blue's Clues - Blue's Alphabet Book (USA),蓝色谜题
Boarder Zone (USA),极速滑雪
"Bob et Bobette - Les Dompteurs du Temps (Europe) (Fr,Nl)",鲍勃和鲍贝特 - 时间驾驭者
"Bob the Builder - Fix it Fun! (Europe) (En,Fr,De,Es,Nl)",欢乐建筑工
"Bob the Builder - Fix it Fun! (Europe) (En,Fr,It)",欢乐建筑工
"Bob the Builder - Fix it Fun! (Europe) (En,Sv,No,Da,Fi)",欢乐建筑工
Bob the Builder - Fix it Fun! (USA),欢乐建筑工
Boku no Camp-jou (Japan),我的帐篷区
Bokujou Monogatari 2 GB (Japan) (GB Compatible),牧场物语2
Bokujou Monogatari 3 GB - Boy Meets Girl (Japan),牧场物语3 - 男孩女孩
Bokujou Monogatari 3 GB - Boy Meets Girl (Japan) (Rev 1),牧场物语3 - 男孩女孩
Bomberman Max - Ain Version (Japan),炸弹人Max - 艾因版
Bomberman Max - Blue Champion (USA),炸弹人Max - 蓝色冠军
Bomberman Max - Hikari no Yuusha (Japan),炸弹人Max - 光之勇者
Bomberman Max - Red Challenger (USA),炸弹人Max - 红色挑战者
Bomberman Max - Yami no Senshi (Japan),炸弹人Max - 黑暗战士
"Bomberman Quest (Europe) (En,Fr,De) (SGB Enhanced) (GB Compatible)",炸弹人传说
Bomberman Quest (Japan) (SGB Enhanced) (GB Compatible),炸弹人传说
Bomberman Quest (USA) (SGB Enhanced) (GB Compatible),炸弹人传说
Bomberman Selection (Korea),炸弹人的选择
Bouken! Dondoko Shima (Japan),冒险唐多科岛
Brave Saga - Shinshou Astaria (Japan),新世代机器人战记
"Buffy the Vampire Slayer (USA, Europe)",吸血蝙蝠杀人魔
"Bug's Life, A (Europe) (SGB Enhanced) (GB Compatible)",虫虫危机
"Bug's Life, A (USA) (SGB Enhanced) (GB Compatible)",虫虫危机
"Bugs Bunny & Lola Bunny - Operation Carrot Patch (Europe) (En,Fr,De,Es,It,Nl) (GB Compatible)",兔八哥和萝拉 - 兔子胡萝卜行动
Bugs Bunny - Crazy Castle 3 (Japan) (GB Compatible),兔八哥 - 疯狂城堡3
"Bugs Bunny - Crazy Castle 3 (USA, Europe) (GB Compatible)",兔八哥 - 疯狂城堡3
Bugs Bunny - Crazy Castle 4 (Japan),兔八哥 - 疯狂城堡4
Bugs Bunny et le Chateau des Catastrophes (France) (En),兔八哥 - 疯狂城堡4
Bugs Bunny in - Crazy Castle 4 (Europe),兔八哥 - 疯狂城堡4
Bugs Bunny in - Crazy Castle 4 (USA),兔八哥 - 疯狂城堡4
Bundesliga Stars 2001 (Germany),联盟足球明星赛2001
Burai Senshi Color (Japan),无赖战士
Burger Burger Pocket - Hamburger Simulation (Japan) (SGB Enhanced) (GB Compatible),汉堡王
Burger Paradise International (Japan),汉堡天堂
"Bust-A-Move 4 (USA, Europe) (GB Compatible)",对战热舞4
"Bust-A-Move Millennium (USA, Europe)",对战热舞千禧年
"Buzz Lightyear of Star Command (USA, Europe)",巴斯光年 - 星际使命
"Caesars Palace II (USA, Europe)",凯撒皇宫2
"Cannon Fodder (Europe) (En,Fr,De,Es,It)",炮灰
"Cannon Fodder (USA) (En,Fr,De,Es,It)",炮灰
Captain Buzz Lightyear - Star Command (Germany),巴斯光年 - 星际使命
Cardcaptor Sakura - Itsumo Sakura-chan to Issho (Japan) (GB Compatible),魔卡少女樱 - 永远和樱酱在一起
Cardcaptor Sakura - Itsumo Sakura-chan to Issho (Japan) (Rev 1) (GB Compatible),魔卡少女樱 - 永远和樱酱在一起
Cardcaptor Sakura - Itsumo Sakura-chan to Issho (Japan) (Rev 2) (GB Compatible),魔卡少女樱 - 永远和樱酱在一起
