Name EN,Name CN
Bokujou Monogatari 2 (Japan),牧场物语2
Bokujou Monogatari 2 (Japan) (Rev 1),牧场物语2
Bokujou Monogatari 2 (Japan) (Rev 2),牧场物语2
Bomberman 64 (Europe),爆-炸弹人64
Bomberman 64 (Japan),爆-炸弹人64
Bomberman 64 (USA),爆-炸弹人64
Bomberman 64 - The Second Attack! (USA),爆-炸弹人64-二次攻击
Bomberman Hero (Europe),炸弹人英雄
Bomberman Hero (USA),炸弹人英雄
Bomberman Hero - Mirian Oujo o Sukue! (Japan),炸弹人英雄-拯救公主米利安
Bottom of the 9th (USA),绝境棒球
Brunswick Circuit Pro Bowling (USA),布伦瑞克职业保龄球巡回赛
"Buck Bumble (Europe) (En,Fr,De,Es,It)",巴克大黄蜂
Buck Bumble (Japan),巴克大黄蜂
Buck Bumble (USA),巴克大黄蜂
"Bug's Life, A (Europe)",虫虫特工队
"Bug's Life, A (France)",虫虫特工队
"Bug's Life, A (Germany)",虫虫特工队
"Bug's Life, A (Italy)",虫虫特工队
"Bug's Life, A (USA)",虫虫特工队
Bust-A-Move '99 (USA),泡泡龙'99
Bust-A-Move 2 - Arcade Edition (Europe),泡泡龙2-街机版
Bust-A-Move 2 - Arcade Edition (USA),泡泡龙2-街机版
Bust-A-Move 3 DX (Europe),泡泡龙3-DX
Bust-A-Move 3 DX (USA) (Beta) (1998-08-28),泡泡龙3-DX
California Speed (USA),加州赛车
California Speed (Europe) (Proto),加州赛车
"Carmageddon 64 (Europe) (En,Fr,De,Es)",恶煞车手64
"Carmageddon 64 (Europe) (En,Fr,Es,It)",恶煞车手64
Carmageddon 64 (USA),恶煞车手64
Carnivale - Cenzo's Adventure (USA) (Proto) (2000-07-21),
"Castlevania (Europe) (En,Fr,De)",恶魔城默示录
Castlevania (USA),恶魔城默示录
Castlevania (USA) (Rev 2),恶魔城默示录
Castlevania (USA) (Rev 1),恶魔城默示录
"Castlevania - Legacy of Darkness (Europe) (En,Fr,De)",恶魔城默示录外传
Castlevania - Legacy of Darkness (USA),恶魔城默示录外传
Centre Court Tennis (Europe),中心球场网球赛
Chameleon Twist (Europe),变色龙
Chameleon Twist (Japan),变色龙
Chameleon Twist (USA),变色龙
Chameleon Twist (USA) (Rev 1),变色龙
Chameleon Twist 2 (Europe),变色龙2
Chameleon Twist 2 (Japan),变色龙2
Chameleon Twist 2 (USA),变色龙2
Charlie Blast's Territory (Europe),爆破工查理
Charlie Blast's Territory (USA),爆破工查理
Chopper Attack (Europe),狂野直升机
Chopper Attack (USA),狂野直升机
Choro Q 64 (Japan),可爱Q赛车
Choro Q 64 2 - Hacha Mecha Grand Prix Race (Japan),可爱Q赛车2
Chou Kuukan Nighter Pro Yakyuu King (Japan),超空间棒球大赛
Chou Kuukan Nighter Pro Yakyuu King 2 (Japan),超空间棒球大赛2
Chou Snobo Kids (Japan),超级滑雪小子
City-Tour GP - Zen-Nihon GT Senshuken (Japan),GT64-锦标赛版
Clay Fighter - Sculptor's Cut (USA),黏土战士-雕刻家之作
Clay Fighter 63 1-3 (Europe),黏土战士63-1-3
Clay Fighter 63 1-3 (USA),黏土战士63-1-3
Clay Fighter 63 1-3 (USA) (Beta),黏土战士63-1-3
"Command & Conquer (Europe) (En,Fr)",命令与征服
Command & Conquer (Germany),命令与征服
Command & Conquer (USA),命令与征服
Conker's Bad Fur Day (Europe),松鼠库克倒霉的一天
Conker's Bad Fur Day (USA),松鼠库克倒霉的一天
Conker's Bad Fur Day (USA) (Beta) (2000-08-26) (ECTS 2000),松鼠库克倒霉的一天
Conker's Bad Fur Day (USA) (Beta) (2000-10-25),松鼠库克倒霉的一天
Controller Kensa-ki NUS-yo N Cassette (Japan) (Test Program),
Cruis'n Exotica (USA),新奇赛车
Cruis'n USA (Europe),美国赛车
Cruis'n USA (USA),美国赛车
Cruis'n USA (USA) (Rev 1),美国赛车
Cruis'n USA (USA) (Rev 2),美国赛车
Cruis'n USA (USA) (Wii Virtual Console),美国赛车
Cruis'n World (Europe),世界赛车
Cruis'n World (USA),世界赛车
Cruis'n World (Europe) (Rev 1),世界赛车
Custom Robo (Japan),组合机器人
Custom Robo V2 (Japan),组合机器人V2
CyberTiger (Europe),泰格伍兹高尔夫
CyberTiger (USA),泰格伍兹高尔夫
"Daffy Duck Starring as Duck Dodgers (Europe) (En,Fr,De,Es,It,Nl)",道奇鸭火星历险记
Dance Dance Revolution - Disney Dancing Museum (Japan),热舞革命-迪斯尼舞蹈博物馆
Dark Rift (Europe),宇宙战士格斗
Dark Rift (USA),宇宙战士格斗
Deadly Arts (USA),死亡格斗
Defi au Tetris Magique (France),魔法方块挑战
Densha de Go! 64 (Japan),电车Go!64
Derby Stallion 64 (Japan),德比赛马64
Derby Stallion 64 (Japan) (Beta) [b],德比赛马64
"Destruction Derby 64 (Europe) (En,Fr,De)",德比破坏赛车64
Destruction Derby 64 (USA),德比破坏赛车64
Destruction Derby 64 (USA) (Beta) (1998-07-31),德比破坏赛车64
Dexanoid (World) (Unl),
Dezaemon 3D (Japan),雷电战机3D
