Name EN,Name CN
Thunderhawk (Japan),AH3雷霆战士
Dracula Unleashed (Europe) (Disc 1) (Made in E.U.),德古拉的释放
Dracula Unleashed (Europe) (Disc 2) (Made in E.U.),德古拉的释放
Tomcat Alley (Germany),雄猫巷
"Space Adventure, The - Cobra - The Legendary Bandit (Europe)",太空冒险
"SoulStar (Europe) (En,Fr,De)",灵魂之星
"Smurfs, The (Europe) (En,Fr,De,Es,It)",蓝精灵
Star Wars - Rebel Assault (Europe),星球大战 - 叛军突击
"Adventures of Batman and Robin, The (USA)",蝙蝠侠和罗宾的冒险
Corpse Killer (Europe),屠尸者
Star Wars - Rebel Assault (USA),星球大战 - 叛军突击
Iron Helix (USA),铁螺旋
Night Trap (Europe) (Disc 1),午夜陷阱
Night Trap (Europe) (Disc 2),午夜陷阱
Sherlock Holmes - Consulting Detective (Europe),夏洛克福尔摩斯 - 侦探课程1
Lethal Enforcers II - Gun Fighters (Europe),致命杀手2
ESPN Baseball Tonight (Europe),ESPN棒球之夜
Bram Stoker's Dracula (USA),吸血鬼惊情四百年
NHL '94 (USA),北美职业冰球联赛94
Night Trap (USA) (Disc 1),午夜陷阱
Night Trap (USA) (Disc 2),午夜陷阱
Rise of the Dragon (USA),龙之崛起
Sewer Shark (USA) (Not for Resale),下水道鲨鱼
Sherlock Holmes - Consulting Detective - Vol. II (USA) (Disc 1),夏洛克福尔摩斯 - 侦探课程2
Sherlock Holmes - Consulting Detective - Vol. II (USA) (Disc 2),夏洛克福尔摩斯 - 侦探课程2
Revenge of the Ninja (USA),忍者疾风
Silpheed (USA),银星战机
Brutal - Paws of Fury (USA),动物武斗传
Heart of the Alien - Out of This World Parts I and II (USA) (RE),外星人之心 - 异世界1+2
Mansion of Hidden Souls (USA),梦见馆物语
"Night Striker (Japan, Korea)",午夜出击
Blackhole Assault (Europe),黑洞突击
Night Trap (USA) (Disc 1) (Sega CD 32X) (RE-1),午夜陷阱
Night Trap (USA) (Disc 2) (Sega CD 32X) (RE-1),午夜陷阱
Batman Returns (Europe) (Alt),蝙蝠侠归来
"Amazing Spider-Man vs. The Kingpin, The (Europe)",超凡蜘蛛侠vs金并
"BC Racers (Europe) (En,Fr,De)",公元前赛车
Ground Zero Texas (Europe) (Disc 1),德克萨斯州归零地
Ground Zero Texas (Europe) (Disc 2),德克萨斯州归零地
Yumemi Mystery Mansion (Europe) (Made in EU),梦见馆物语
Mortal Kombat Kanzenban (Japan),真人快打
Eternal Champions - Challenge from the Dark Side (USA) (RE),永恒之冠 - 黑暗之挑战
Microcosm (USA),微观世界
Wing Commander (USA),银河飞将
