Name EN,Name CN
'89 Dennou Kyuusei Uranai (Japan),89电脑占星术
10-Yard Fight (Japan),十码大战
10-Yard Fight (Japan) (Rev 1),十码大战
"10-Yard Fight (USA, Europe)",十码大战
100 Man Dollar Kid - Maboroshi no Teiou Hen (Japan),百万小子-幻之帝王篇
"1942 (Japan, USA) (En)",1942
1943 - The Battle of Midway (USA),1943-中途岛战役
1943 - The Battle of Valhalla (Japan),1943-中途岛战役
"1999 - Hore, Mitakotoka! Seikimatsu (Japan)",99强手棋
2010 Street Fighter (Japan),街头战士2010
3-D WorldRunner (USA),3D世界赛跑者
4 Nin Uchi Mahjong (Japan),四人麻将
4 Nin Uchi Mahjong (Japan) (Rev 1),四人麻将
720 Degrees (USA),720度转角
8 Eyes (Japan),八眼传说
8 Eyes (USA),八眼传说
A Ressha de Ikou (Japan),铁路A计划
ASO - Armored Scrum Object (Japan) (En),阿尔法任务-装甲争夺战
Aa Yakyuu Jinsei Icchokusen (Japan),野球人生
Abadox (Japan),阿贝道之战
Abadox - The Deadly Inner War (USA),阿巴多克斯-致命的内部战争
Abarenbou Tengu (Japan),暴坊天狗
Aces - Iron Eagle III (Japan),铁鹰战士3
Action in New York (Europe),最终任务
"Addams Family, The (Europe) (En,Fr,De)",阿达一族
"Addams Family, The (USA)",阿达一族
"Addams Family, The - Pugsley's Scavenger Hunt (Europe)",阿达一族2
"Addams Family, The - Pugsley's Scavenger Hunt (USA)",阿达一族2
Advanced Dungeons & Dragons - DragonStrike (USA),高级地下城与龙-龙击
Advanced Dungeons & Dragons - Dragons of Flame (Japan),高级地下城与龙-龙之火焰
Advanced Dungeons & Dragons - Heroes of the Lance (Japan),高级地下城与龙-长枪英雄
Advanced Dungeons & Dragons - Heroes of the Lance (USA),高级地下城与龙-长枪英雄
Advanced Dungeons & Dragons - Hillsfar (Japan),高级地下城与龙-远山
Advanced Dungeons & Dragons - Hillsfar (USA),高级地下城与龙-远山
Advanced Dungeons & Dragons - Pool of Radiance (Japan),高级地下城与龙-光芒之池
Advanced Dungeons & Dragons - Pool of Radiance (USA),高级地下城与龙-光芒之池
Adventure Island (USA),冒险岛
Adventure Island 3 (USA),冒险岛3
Adventure Island Classic (Europe),冒险岛
Adventure Island II (USA),冒险岛2
"Adventure Island Part II, The (Europe)",冒险岛2
Adventures in the Magic Kingdom (Europe),魔法王国大冒险
Adventures in the Magic Kingdom (USA),魔法王国大冒险
"Adventures of Bayou Billy, The (Europe)",鳄鱼先生
"Adventures of Bayou Billy, The (USA)",鳄鱼先生
"Adventures of Bayou Billy, The (USA) (Virtual Console)",鳄鱼先生
Adventures of Dino Riki (USA),新人类
"Adventures of Gilligan's Island, The (USA)",梦幻岛大冒险
Adventures of Lolo (Europe),蛋王子大冒险
Adventures of Lolo (Europe) (Virtual Console),蛋王子大冒险
Adventures of Lolo (Japan),蛋王子大冒险
Adventures of Lolo (USA),蛋王子大冒险
Adventures of Lolo (USA) (Virtual Console),蛋王子大冒险
Adventures of Lolo 2 (Europe),蛋王子大冒险2
Adventures of Lolo 2 (Europe) (Virtual Console),蛋王子大冒险2
Adventures of Lolo 2 (USA),蛋王子大冒险2
Adventures of Lolo 2 (USA) (Virtual Console),蛋王子大冒险2
Adventures of Lolo 3 (Europe),蛋王子大冒险3
Adventures of Lolo 3 (USA),蛋王子大冒险3
Adventures of Lolo II (Japan),罗罗大冒险2
"Adventures of Rad Gravity, The (Europe)",重力大冒险
"Adventures of Rad Gravity, The (USA)",重力大冒险
"Adventures of Rocky and Bullwinkle and Friends, The (USA)",波波鹿与飞天鼠
Adventures of Tom Sawyer (USA),汤姆索亚历险记
After Burner (Japan),冲破火网
Ai Sensei no Oshiete - Watashi no Hoshi (Japan),爱先生-占卜之星
Aigina no Yogen - Balubalouk no Densetsu Yori (Japan),巴鲁巴矿工传说
Air Fortress (Europe),空中要塞
Air Fortress (Japan),空中要塞
Air Fortress (USA),空中要塞
Airwolf (Europe) (Acclaim),飞狼
Airwolf (Japan) (Kyugo),飞狼
Airwolf (USA) (Acclaim),飞狼
Akagawa Jirou no Yuurei Ressha (Japan),赤川次郎之幽灵列车
Akira (Japan),阿基拉
Akuma no Shoutaijou (Japan),恶魔招待状
Akuma-kun - Makai no Wana (Japan),恶魔君-魔界的圈套
Akumajou Densetsu (Japan),恶魔城3-德古拉的诅咒
Akumajou Densetsu (Japan) (Virtual Console),恶魔城3-德古拉的诅咒
Akumajou Densetsu (World) (Ja) (Castlevania Anniversary Collection),恶魔城3-德古拉的诅咒
Akumajou Dracula (Japan),恶魔城
Akumajou Dracula (World) (Ja) (Castlevania Anniversary Collection),恶魔城
Akumajou Special - Boku Dracula-kun (Japan),恶魔城外传-少年德古拉
Akumajou Special - Boku Dracula-kun (World) (Ja) (Castlevania Anniversary Collection),恶魔城外传-少年德古拉
Al Unser Jr. Turbo Racing (USA),涡轮大赛车
Aladdin (Europe),阿拉丁
Alex DeMeo's Race America (USA),美国赛车
Alfred Chicken (Europe),神鸡艾烈佛
Alfred Chicken (USA),神鸡艾烈佛
Alien 3 (Europe),异形3
Alien 3 (USA),异形3
Alien Syndrome (Japan),异形风暴
All-Pro Basketball (USA),全美职业篮球赛
Alpha Mission (Europe),阿尔法任务-装甲争夺战
Alpha Mission (USA),阿尔法任务-装甲争夺战
Amagon (USA),荒岛落难记
America Daitouryou Senkyo (Japan),美国总统大选
America Oudan Ultra Quiz - Shijou Saidai no Tatakai (Japan),美国横断问答-史上最大之争战
America Oudan Ultra Quiz - Shijou Saidai no Tatakai (Japan) (Rev 1),美国横断问答-史上最大之争战
American Dream (Japan),美国之梦
American Football - Touchdown Fever (Japan),美式橄榄球
American Gladiators (USA),美国斗士
Ankoku Shinwa - Yamato Takeru Densetsu (Japan),暗黑神话
Anticipation (Europe),机智问答
Anticipation (USA),机智问答
Aoki Ookami to Shiroki Mejika - Genchou Hishi (Japan),苍狼与白鹿-元朝秘史
Aoki Ookami to Shiroki Mejika - Genghis Khan (Japan),苍狼与白鹿-成吉思汗
Arabian Dream Scheherazade (Japan),阿拉伯之梦
Arch Rivals - A Basketbrawl! (Europe),劲敌-篮球大战！
Arch Rivals - A Basketbrawl! (USA),劲敌-篮球大战！
Archon (USA),巫术对奕
Arctic (Japan),北极星
Argos no Senshi - Hachamecha Daishingeki (Japan),未来战士
Argus (Japan),百眼巨神
Arkanoid (Japan) (En),打砖块
Arkanoid (USA),打砖块
Arkanoid II (Japan) (En),打砖块2
Arkista's Ring (USA),亚克斯塔的戒指
Armadillo (Japan),穿山甲小子
Artelius (Japan),亚特利斯号
Asmik-kun Land (Japan),阿斯米克君世界
"Asterix (Europe) (En,Fr,De,Es,It)",美丽新世界
Astro Fang - Super Machine (Japan),冲锋飞车-超级装置
Astro Robo Sasa (Japan),漂浮枪手
Astyanax (Europe),战王之王
Astyanax (USA),战王之王
Athena (Japan),雅典娜
Athena (USA),雅典娜
Athletic World (Europe),任天堂跳跳板-运动世界
Athletic World (USA),任天堂跳跳板-运动世界
Atlantis no Nazo (Japan),亚特兰提斯之谜
"Atlantis no Nazo (Japan) (Virtual Console, Switch Online)",亚特兰提斯之谜
Attack of the Killer Tomatoes (Europe),蕃茄杀手
Attack of the Killer Tomatoes (USA),蕃茄杀手
Aussie Rules Footy (Australia),澳洲制式足球
B-Wings (Japan),B计划
Babel no Tou (Japan),巴比伦塔
Babel no Tou (Japan) (En) (Namcot Collection),巴比伦塔
Babel no Tou (Japan) (En) (Rev 1) (Namcot Collection),巴比伦塔
Back to the Future (USA),回到未来
Back to the Future Part II & III (USA),回到未来2+3
Bad Dudes (USA),龙之忍者
Bad Dudes vs. Dragon Ninja (Europe),龙之忍者
Bad News Baseball (USA),坏消息棒球
Bad Street Brawler (USA),黑街斗争
Baken Hisshou Gaku - Gate In (Japan),马券必胜学
Bakushou! Star Monomane Shitennou (Japan),爆笑四天王
Bakushou!! Ai no Gekijou (Japan),爆笑爱之剧场
Bakushou!! Jinsei Gekijou (Japan),爆笑人生剧场
Bakushou!! Jinsei Gekijou 2 (Japan),爆笑人生剧场2
Bakushou!! Jinsei Gekijou 3 (Japan),爆笑人生剧场3
Ballblazer (Japan),滚球大战
Balloon Fight (Europe),气球大战
Balloon Fight (Europe) (Virtual Console),气球大战
Balloon Fight (Japan) (En),气球大战
Balloon Fight (USA),气球大战
Baltron (Japan),巴特隆战记
Banana (Japan),香蕉大战
Banana Prince (Germany),香蕉王子大冒险
Bananan Ouji no Daibouken (Japan),香蕉王子大冒险
Bandai Golf - Challenge Pebble Beach (USA),万岱高尔夫-圆石滩球场邀请赛
Bandit Kings of Ancient China (USA),水浒传-天命之誓
Barbie (Europe),芭比娃娃
Barbie (USA),芭比娃娃
Barbie (USA) (Rev 1),芭比娃娃
Barcode World (Japan),条码世界
"Bard's Tale II, The - The Destiny Knight (Japan)",冰城传奇2-命运骑士团
"Bard's Tale, The (Japan)",冰城传奇
"Bard's Tale, The (USA)",冰城传奇
Barker Bill's Trick Shooting (Europe),伯克比尔之戏法射击秀
Barker Bill's Trick Shooting (USA),伯克比尔之戏法射击秀
Baseball (Japan) (En),任天堂棒球
"Baseball (USA, Europe)",任天堂棒球
Baseball Fighter (Japan),棒球战士
Baseball Simulator 1.000 (USA),模拟棒球
Baseball Simulator 1.000 (USA) (Virtual Console),模拟棒球
Baseball Star - Mezase Sankanou!! (Japan),棒球之星-迈向三冠王！
Baseball Stars (USA),棒球之星
Baseball Stars II (USA),棒球之星2
Bases Loaded (USA),满垒王
Bases Loaded (USA) (Rev 1),满垒王
Bases Loaded (USA) (Rev 2),满垒王
Bases Loaded 3 (USA),满垒王3
Bases Loaded 4 (USA),满垒王4
Bases Loaded II - Second Season (USA),满垒王2
Batman (Japan),蝙蝠侠
Batman - Return of the Joker (Europe),蝙蝠侠2-小丑的复仇
Batman - Return of the Joker (USA),蝙蝠侠2-小丑的复仇
Batman - The Video Game (Europe),蝙蝠侠
Batman - The Video Game (USA),蝙蝠侠
Batman Returns (Europe),蝙蝠侠3-大显神威
Batman Returns (USA),蝙蝠侠3-大显神威
Batsu & Terry - Makyou no Tetsujin Race (Japan),魔境铁人
Battle Baseball (Japan),SD战斗棒球
Battle Chess (USA),决战西洋棋
Battle Fleet (Japan),海战舰队
Battle Formula (Japan),战斗方程式赛车
Battle Stadium - Senbatsu Pro Yakyuu (Japan),战斗野球-职业野球选拔赛
Battle Storm (Japan),战斗风暴
"Battle of Olympus, The (Europe)",奥林帕斯之战
"Battle of Olympus, The (USA)",奥林帕斯之战
BattleCity (Japan),战斗城市
"BattleCity (World) (Ja) (Namcot Collection, Namco Museum Archives Vol 2)",战斗城市
"Battleship (Europe) (En,Fr,De,Es)",海战风云
Battleship (USA),海战风云
Battletoads (Europe),战斗蛙
Battletoads (Japan),战斗蛙
Battletoads (USA),战斗蛙
Battletoads-Double Dragon (Europe),忍者蛙与双截龙
Battletoads-Double Dragon (USA),忍者蛙与双截龙
Be-Bop-Highschool - Koukousei Gokuraku Densetsu (Japan),高校生极乐传说
Beauty and the Beast (Europe),美女与野兽
