Name EN,Name CN
Batman - Revenge of the Joker (USA),蝙蝠侠 - 小丑归来
Batman - The Video Game (USA),蝙蝠侠
Batman Forever (World),永远的蝙蝠侠
Batman Returns (World),蝙蝠侠重出江湖
Battle Golfer Yui (Japan),高尔夫
Battle Mania (Japan),战斗狂热
"Battle Mania Daiginjou (Japan, Korea) (Ja)",战斗玛利亚
"Battle Squadron (USA, Europe)",武装中队
Battlemaster (USA),战神
Battletech - A Game of Armored Combat (USA),机甲争霸
Battletoads (World),战斗蛙
Battletoads-Double Dragon (USA),战斗蛙与双截龙
Beast Warriors (Japan),野兽武士
Beast Wrestler (USA),怪兽摔角
Beauty and the Beast - Belle's Quest (USA),美女与野兽
Beauty and the Beast - Roar of the Beast (USA),美女与野兽 - 野兽之吼
Beavis and Butt-Head (Europe),比佛与巴特头
Beavis and Butt-Head (USA),比佛与巴特头
"Berenstain Bears' Camping Adventure, The (USA)",贝伦斯坦熊露营冒险
"Berenstain Bears' Camping Adventure, The (USA) (Sega Channel)",贝伦斯坦熊露营冒险
Best of the Best - Championship Karate (USA),空手道
Beyond Oasis (USA),雷神传说
"Bill Walsh College Football (USA, Europe)",比尔渥休足球
Bill Walsh College Football 95 (USA),比尔渥休足球95
Bimini Run (USA),高速竞艇
"Bio Hazard Battle (USA, Europe)",生化危机 - 战斗
Bishoujo Senshi Sailor Moon (Japan),美少女战士
"Blades of Vengeance (USA, Europe)",复仇之刃
Blaster Master 2 (USA),疾风战车2
Blockbuster World Video Game Championship II (USA),爆炸灌篮2
Blockout (World),立体方块
"Bloodshot (Europe) (En,Fr,De,Es)",血枪
Blue Almanac (Japan),蓝色年代
Body Count (Brazil) (En),殭尸伯爵
"Body Count (Europe) (En,Fr,De,Es,It)",殭尸伯爵
Bomber (Europe) (Sega Reactor),轰炸机
Bomber (USA) (Sega Gopher),轰炸机
"Bonanza Bros. (Japan, Europe) (En,Ja)",淘金兄弟
"Bonanza Bros. (Japan, Europe) (En,Ja) (Rev A)",淘金兄弟
"Bonanza Bros. (USA, Europe, Korea) (En) (Rev B)",淘金兄弟
"Bonkers (USA, Europe)",邦卡猫大冒险
Boogerman - A Pick and Flick Adventure (Europe),吹嘘人
Boogerman - A Pick and Flick Adventure (USA),吹嘘人
Boogie Woogie Bowling (Japan),动感宝龄球
Bottle Taps Race (Europe) (Sega Reactor),瓶盖竞赛
Boxing Legends of the Ring (USA),拳击传奇
Bram Stoker's Dracula (Europe),吸血鬼德古拉之谜
Bram Stoker's Dracula (USA),吸血鬼德古拉之谜
Brett Hull Hockey 95 (USA),赫尔曲棍球95
Brian Lara Cricket (Australia),布莱恩板球95
Brian Lara Cricket (Europe),布莱恩板球95
Brian Lara Cricket 96 (Europe),布莱恩板球96
Brian Lara Cricket 96 (Europe) (Rev 1),布莱恩板球96
"Brutal - Paws of Fury (Europe) (En,Fr,De)",动物快打
Brutal - Paws of Fury (USA),动物快打
Bubba 'N' Stix (Europe),布巴与史地克
Bubba 'N' Stix (USA),布巴与史地克
Bubble and Squeak (Europe),泡泡与史威克之冒险
Bubble and Squeak (USA),泡泡与史威克之冒险
"Bubsy II (USA, Europe)",音速狐2
"Bubsy in - Claws Encounters of the Furred Kind (USA, Europe)",音速狐 - 毛皮族的爪子奇遇
"Buck Rogers - Countdown to Doomsday (USA, Europe)",别克罗杰最终审判
Budokan - The Martial Spirit (Europe),武道馆 - 大和魂
"Bugs Bunny in Double Trouble (Europe) (En,Fr,De,Es,It)",宾尼兔 - 危机重重
Bugs Bunny in Double Trouble (USA),宾尼兔 - 危机重重
"Bulls versus Blazers and the NBA Playoffs (USA, Europe)",NBA公牛Vs开拓者
"Bulls vs Lakers and the NBA Playoffs (USA, Europe)",NBA公牛Vs湖人
Burning Force (Europe),燃烧战队
Burning Force (Japan) (En),燃烧战队
Burning Force (USA),燃烧战队
"Cadash (USA, Korea) (En)",斩魔传
Caesar no Yabou (Japan),凯萨雄心
Caesar no Yabou II (Japan),凯萨雄心2
Caesars Palace (USA),凯撒皇宫
Cal Ripken Jr. Baseball (USA),小卡尔里普肯棒球
Caliber.50 (USA),越战勇士
"California Games (USA, Europe)",加州游戏
Cannon Fodder (Europe),炮灰向前衝
Captain America and the Avengers (Europe),美军上尉与复仇者
Captain America and the Avengers (USA),美军上尉与复仇者
"Captain Lang (Japan) (En,Ja)",兰船长
Captain Planet and the Planeteers (Europe),外星指挥官
"Castle of Illusion Starring Mickey Mouse (USA, Europe)",米老鼠之奇幻城堡
Castlevania - Bloodlines (USA),恶魔城 - 血族
Castlevania - Bloodlines (USA) (Castlevania Anniversary Collection),恶魔城 - 血族
Castlevania - The New Generation (Europe),恶魔城 - 新的时代
Castlevania - The New Generation (Europe) (Mega Drive Mini),恶魔城 - 新的时代
"Centurion - Defender of Rome (USA, Europe)",罗马保卫战
"Centurion - Defender of Rome (USA, Europe) (Sega Channel)",罗马保卫战
"Chakan (USA, Europe)",查可 - 永恆之人
"Chakan (USA, Europe) (1992-10-06) (Sega Channel)",查可 - 永恆之人
Chameleon Kid (Japan) (En),变色龙小子
"Champions World Class Soccer (World) (En,Fr,De,Es)",世界级足球
Championship Bowling (USA),保龄球锦标赛
Championship Pool (USA),撞球锦标赛
Championship Pro-Am (USA),火柴遥控车
"Chaos Engine, The (Europe)",混乱机车
Chase H.Q. II (USA),总部追击
Chavez II (Mexico),职业拳击2
"Cheese Cat-Astrophe Starring Speedy Gonzales (Europe) (En,Fr,De,Es)",起司猫 - 冈萨雷斯的奶酪灾难
Chelnov (Japan),卡洛夫
"Chessmaster, The (USA) (Sega Channel)",国际象棋大师
