Name EN,Name CN
Final Lap Twin (Japan),终极赛车
Final Lap Twin (USA),终极赛车
Final Match Tennis (Japan),终极网球
Final Soldier (Japan) (En),最终战机
Final Soldier (World) (Wii U Virtual Console),最终战机
Final Soldier - Special Version (Japan) (En),最终战机 - 限时版
Fire Pro Wrestling - 2nd Bout (Japan),热血摔角2
Fire Pro Wrestling - Combination Tag (Japan),热血摔角1
Fire Pro Wrestling 3 - Legend Bout (Japan),热血摔角3
Formation Soccer - Human Cup '90 (Japan) (En),休曼杯足球'90
Formation Soccer - On J.League (Japan),休曼J联盟足球
Fushigi no Yume no Alice (Japan),爱丽丝梦游仙境
Gai Flame (Japan),炎之大地
Gai Flame (Japan) (Wii U Virtual Console),炎之大地
Gaia no Monshou (Japan),大地纹章
Galaga '88 (Japan) (En),小蜜蜂'88
Galaga '90 (USA),小蜜蜂'90
Galaga '90 (Hong Kong) (En) (Unl),小蜜蜂'90
Ganbare! Golf Boys (Japan),高尔夫少年
Gekisha Boy (Japan),激写小子
Genji Tsuushin Agedama (Japan),通讯少年
Genpei Toumaden (Japan),源平讨魔传
Genpei Toumaden - Kan no Ni (Japan),源平讨魔传2
Ghost Manor (USA),幽魂领地
Gokuraku! Chuuka Taisen (Japan),极乐！中华大仙
Gomola Speed (Japan) (En),毛毛虫
Gradius (Japan) (En),宇宙巡航机
Gradius (World) (Wii U Virtual Console),宇宙巡航机
Gradius (Japan) (PC Engine Mini),宇宙巡航机
Gunboat (USA),激战炮艇
Gunhed (Japan) (En),机甲战士
Gunhed - Special Version (Japan) (En),机甲战士 - 特别版
Hana Taaka Daka! (Japan),射击天狗
Hanii in the Sky (Japan),空中甜心
Hanii on the Road (Japan),路上甜心
Hatris (Japan) (En),帽子方块
Heavy Unit (Japan) (En),机动劲旅
Hisou Kihei X-SERD (Japan),飞装骑兵
Hit the Ice - VHL - The Official Video Hockey League (USA),冰上曲棍球
Hit the Ice - VHL - The Video Hockey League (Japan) (En),冰上曲棍球
Honoo no Toukyuuji - Dodge Danpei (Japan),斗球儿弹平
Hyper Dyne - SideArms (Japan) (En),绝对合体
Hyper Dyne - SideArms (Hong Kong) (En) (Unl),绝对合体
Idol Hanafuda Fan Club (Japan) (Unl),美少女麻雀
ImageFight (Japan) (En),幻影战机
Impossamole (USA),浣熊超人
J.J. & Jeff (USA),杰克高尔夫-18洞
J.League Greatest Eleven (Japan),J联盟足球赛
Jack Nicklaus' Greatest 18 Holes of Major Championship Golf (Japan) (En),杰克高尔夫-加强版
Jack Nicklaus' Turbo Golf (USA),成龙功夫
Jackie Chan (Japan),成龙功夫
Jackie Chan's Action Kung Fu (USA),邪圣剑
