EN Name,CN Name
Topple Zip (Japan),飞天大战
Topple Zip (Japan) (Project EGG),飞天大战
Transformers - The Headmasters (Japan),变形金刚2 - 头领战士
TwinBee (Japan) (Disk Writer),兵蜂
Ultraman - Kaijuu Teikoku no Gyakushuu (Japan),咸蛋超人 - 怪兽帝国之逆袭
Ultraman - Kaijuu Teikoku no Gyakushuu (Japan) (Disk Writer),咸蛋超人 - 怪兽帝国之逆袭
Ultraman 2 - Shutsugeki Katokutai (Japan),咸蛋超人2 - 出击科特队
Ultraman Club - Chikyuu Dakkan Sakusen (Japan),咸蛋超人俱乐部
Ultraman Club - Chikyuu Dakkan Sakusen (Japan) (Rev 1),咸蛋超人俱乐部
Volleyball (Japan),排球
Vs. Excitebike (Japan) (En),越野摩托车
"Vs. Excitebike (Japan, USA) (En) (Virtual Console)",越野摩托车
Wakusei Aton Gaiden (Japan) (National Tax Agency Demo),惑星阿托恩外传
Wardner no Mori (Japan),威特纳之森林
Winter Games (Japan),冬季奥运会
Wrecking Crew (Japan) (Disk Writer),拆屋工
Xevious (Japan) (Disk Writer),铁板阵
Yakyuuken Part II - Gal's Dungeon (Japan) (Unl),性感野球拳冒险2 - 女子地牢
Youkai Yashiki (Japan),妖怪屋敖
Yume Koujou - Doki Doki Panic (Japan) (DV 2),梦工厂
Yume Koujou - Doki Doki Panic (Japan) (DV 1),梦工厂
Yuu Maze (Japan),游戏人生
Yuushi no Monshou - Deep Dungeon (Japan),勇者之纹章
Yuushi no Monshou - Deep Dungeon (Japan) (Rev 1) (Disk Writer),勇者之纹章
Zanac (Japan),银河号
Zatsugaku Olympic Quiz - Watanabe Wataru Hen (Japan) (Unl),美少女问答
Zatsugaku Olympic Quiz Part II (Japan) (Unl),美少女问答2
Zelda no Densetsu - The Hyrule Fantasy (Japan),塞尔达传说 - 海拉尔幻想
Zelda no Densetsu - The Hyrule Fantasy (Japan) (Rev 1),塞尔达传说 - 海拉尔幻想
Zelda no Densetsu - The Hyrule Fantasy (Japan) (Beta) (1985-12-28),塞尔达传说 - 海拉尔幻想
Zelda no Densetsu - The Hyrule Fantasy (Japan) (GameCube),塞尔达传说 - 海拉尔幻想
Zelda no Densetsu - The Hyrule Fantasy (Japan) (Collector's Edition),塞尔达传说 - 海拉尔幻想
Zelda no Densetsu - The Hyrule Fantasy (Japan) (Virtual Console),塞尔达传说 - 海拉尔幻想
