EN Name,CN Name
Egger Land - Souzou e no Tabidachi (Japan) (Beta) (1987-11-11),罗罗大冒险外传
Electrician (Japan),纽约大地震
Emi-chan no Moero Yakyuuken! (Japan) (Unl),燃烧野球拳
Esper Dream (Japan),世界之梦
Esper Dream (Japan) (Rev 1) (Disk Writer),世界之梦
Esper Dream (Japan) (Rev 1) (Wii and Wii U Virtual Console),世界之梦
Esper Dream (Japan) (Rev 1) (3DS Virtual Console),世界之梦
Exciting Baseball (Japan),激烈棒球
Exciting Basket (Japan),激烈篮球
Exciting Billiard (Japan),激烈台球
Exciting Soccer - Konami Cup (Japan),激烈足球
Fairy Pinball - Yousei Tachi no Pinball (Japan) (Unl),妖精弹珠台
Fairy Pinball - Yousei Tachi no Pinball (Japan) (Unl) (Alt) [b],妖精弹珠台
Fairytale (Japan),童话
Falsion (Japan),太空立体战
Famicom Grand Prix - F1 Race (Japan) (DV 1) (Disk Writer),家庭F1赛车
Famicom Grand Prix - F1 Race (Japan),家庭F1赛车
Famicom Grand Prix II - 3D Hot Rally (Japan) (DV 7) (Famicom 3D System),家庭F1赛车
Famicom Grand Prix II - 3D Hot Rally (Japan) (DV 5) (Famicom 3D System),家庭F1赛车
Famicom Grand Prix II - 3D Hot Rally (Japan) (DV 8) (Disk Writer) (Famicom 3D System),家庭F1赛车
Famicom Mukashibanashi - Shin Onigashima - Kouhen (Japan),新鬼岛 - 后篇
Famicom Mukashibanashi - Shin Onigashima - Kouhen (Japan) (Virtual Console),新鬼岛 - 后篇
Famicom Mukashibanashi - Shin Onigashima - Zenpen (Japan) (DV 1),新鬼岛 - 前篇
"Famicom Mukashibanashi - Shin Onigashima - Zenpen (Japan) (DV 2, 3) (Disk Writer)",新鬼岛 - 前篇
Famicom Mukashibanashi - Shin Onigashima - Zenpen (Japan) (DV 3) (Wii and Wii U Virtual Console),新鬼岛 - 前篇
Famicom Mukashibanashi - Shin Onigashima - Zenpen (Japan) (DV 3) (3DS Virtual Console),新鬼岛 - 前篇
Famicom Mukashibanashi - Yuuyuuki - Kouhen (Japan),游游记 - 后篇
Famicom Mukashibanashi - Yuuyuuki - Zenpen (Japan),游游记 - 前篇
Famicom Tantei Club - Kieta Koukeisha - Kouhen (Japan),侦探俱乐部 - 后篇
Famicom Tantei Club - Kieta Koukeisha - Kouhen (Japan) (3DS Virtual Console),侦探俱乐部 - 后篇
"Famicom Tantei Club - Kieta Koukeisha - Zenpen (Japan) (DV 1, 3)",侦探俱乐部 - 前篇
Famicom Tantei Club - Kieta Koukeisha - Zenpen (Japan) (DV 3) (Wii and Wii U Virtual Console),侦探俱乐部 - 前篇
Famicom Tantei Club - Kieta Koukeisha - Zenpen (Japan) (DV 3) (3DS Virtual Console),侦探俱乐部 - 前篇
"Famicom Tantei Club Part II - Ushiro ni Tatsu Shoujo - Kouhen (Japan) (DV 3, 4)",侦探俱乐部2 - 后篇
Famicom Tantei Club Part II - Ushiro ni Tatsu Shoujo - Kouhen (Japan) (DV 4) (3DS Virtual Console),侦探俱乐部2 - 后篇
Famicom Tantei Club Part II - Ushiro ni Tatsu Shoujo - Zenpen (Japan) (Beta),侦探俱乐部2 - 前篇
Famicom Tantei Club Part II - Ushiro ni Tatsu Shoujo - Zenpen (Japan),侦探俱乐部2 - 前篇
Famicom Tantei Club Part II - Ushiro ni Tatsu Shoujo - Zenpen (Japan) (3DS Virtual Console),侦探俱乐部2 - 前篇
