EN Name,[TBD] Name
Becky (Japan) (Alt 1),
Becky (Japan) (Alt 2),
Becky (Japan),
Bee & Flower (Japan) (Alt 1),
Bee & Flower (Japan) (Alt 2),
Bee & Flower (Japan),
Bifamu (Japan) (Alt 1),
Bifamu (Japan),
Binary Land (Japan),
Blagger MSX (Europe) (Converted from Tape),
Block Hole (Korea) (Unl),
Blockade Runner (Japan),
Boggy '84 (Japan) (Alt 1),
Boggy '84 (Japan) (Alt 2),
Boggy '84 (Japan),
Boing Boing (Spain),
Bokosuka Wars (Japan) (Alt 1),
Bokosuka Wars (Japan),
Bomber King (Japan),
Bomber Man (Japan),
Bomber Man Special (Japan),
Boogie Woogi Jungle (Japan) (Alt 1),
Boogie Woogi Jungle (Japan) (Alt 2),
Boogie Woogi Jungle (Japan),
Boomerang (Japan) (Alt 1),
Boomerang (Japan),
Borfesu (Japan),
Bosconian (Japan) (Alt 1),
Bosconian (Japan) (Alt 2),
Bosconian (Japan),
Bouken Roman - Dota (Japan) (Alt 1),
Bouken Roman - Dota (Japan),
Boulder Dash (Japan),
Bouncing Block (Spain) (Alt 1),
Bouncing Block (Spain),
Break In (Japan),
Break Out (Japan),
Brother Adventure (Korea) (Alt 1) (Unl),
Brother Adventure (Korea) (Unl),
Bruce Lee (Japan),
Bubble Bobble (Japan) (Alt),泡泡龙
Bubble Bobble (Japan),泡泡龙
Bubble Bobble (Korea) (Alt 1) (Unl),
Bubble Bobble (Korea) (Unl),
Burgertime (Japan),
Buru To Marty Kikiippatsu - Inspecteur Z (Japan),
Butam Pants (Japan) (Alt 1),
Butam Pants (Japan) (Alt 2),
Butam Pants (Japan),
C-So! (Japan),
Cabbage Patch Kids (Japan) (Alt 1),
Cabbage Patch Kids (Japan),
Candoo Ninja (Japan) (Alt 1),
Candoo Ninja (Japan),
Cannon Ball (Japan) (Alt 1),
Cannon Ball (Japan),
Cannon Fighter (Japan),
Captain Chef (Japan),
Car Fighter (Japan),
Car Jamboree (Japan) (Alt 1),
Car Jamboree (Japan),
Car-Race (Japan) (Alt 1),
Car-Race (Japan) (Alt 2),
Car-Race (Japan),
Casio Daishogai Keiba (Japan),
Casio Pachinko-U.F.O. (Japan),
Casio Ski Command (Japan) (Alt 1),
