Name EN,Name CN
"Virtua Tennis 3 (Europe) (En,Fr,De,Es,It)",VR网球3
"Wipeout Pulse (Asia) (En,Fr,De,Es,It)",反重力赛车2-脉搏
Medal of Honor - Heroes 2 (Europe),荣誉勋章-英雄2
"Beowulf - The Game (Europe) (En,Fr,De,Es,It)",贝奥武甫
Jet de Go! Pocket (Asia),飞机GO!口袋版
Dragon Quest & Final Fantasy in Itadaki Street Portable (Japan),富豪街-勇者斗恶龙&最终幻想-携带版
Kuru Kuru Chameleon (Japan),回转逆转变色龙
Gradius Portable (Japan),宇宙巡航机-携带版
"Tekken - Dark Resurrection (Japan, Asia)",铁拳-黑暗复苏
NBA Live 06 (Japan),NBA实况06
Piposaru Academia 2 - Aiai Saruge Janken Battle (Japan),比波猴学院2
"TalkMan-shiki Shabelingual Eikaiwa for Kids! (Japan) (En,Ja) (Microphone Doukonban)",翻译精灵式-英语会话儿童版
"Xyanide - Resurrection (Asia) (En,Fr,De,Es,It)",幻影战机-复苏
"Hard Rock Casino (Europe) (En,Fr,De,Es,It)",硬石赌城
Innocent Life - Shin Bokujou Monogatari (Japan) (Best Collection),新牧场物语-无暇人生
Karakuri (Japan) (Taikenban),遗迹大冒险
Simple 2500 Series Portable!! Vol. 11 - The Puzzle Quest - Agaria no Kishi (Japan),廉价2500系列11-益智探险-亚加利亚的骑士
"Shin Sangoku Musou (Japan, Asia)",真三国无双
"Moegaku @ Portable (Japan) (En,Ja)",萌英语-携带版
"Musou Orochi (Japan, Korea)",无双大蛇
"Worms - Open Warfare 2 (Europe) (En,Fr,De,Es,It)",百战天虫-开战时刻2
"Pursuit Force - Extreme Justice (Europe) (En,Fr,De,Es,It)",强力追击2-终极正义
Chronicle of Dungeon Maker (Asia),迷宫创造者编年史-狩猎场
"Saru! Get You! Piposaru Racer (Japan, Asia)",捉猴啦-比波猴赛车
Monster Hunter Portable (Japan),怪物猎人-携带版
"Grand Theft Auto - Liberty City Stories (USA) (En,Fr,De,Es,It) (v3.00)",侠盗猎车-自由城的故事
Burnout Legends (Japan) (EA Best Hits),火爆狂飙-传奇
"Makai Senki Disgaea Portable - Tsuushin Taisen Hajimemashita. (Japan, Korea)",魔界战记-通信对战-携带版
Kanji Trainer Portable (Japan),汉字锻炼-携带版
"Syphon Filter - Dark Mirror (Europe) (En,Fr,De,Es,It)",虹吸战士-黑镜
Dora-Slot - Oki Slot Ou! Pioneer 12 (Japan),巨人之星-多拉冲击
FIFA Soccer (Korea),FIFA足球
Metal Gear Solid - Portable Ops Plus (Asia),合金装备-掌上行动-加强版
PlayStation Spot Sen'you UMD Vol. 5 (Japan),
PlayStation Spot Sen'you UMD Vol. 6 (Japan),
PlayStation Spot Sen'you UMD Vol. 7 (Japan),
Valkyrie Profile - Lenneth (Europe),北欧女神-蕾娜斯
